P,Player,Week,Team,Opp,Opp Rank,FDSal,DKSal,FD Points,DK Points
WR,Laviska Shenault Jr.,13,JAX,LAR,17,5400,4400,4.6,6.1
WR,Albert Wilson,13,MIA,NYG,15,5100,3200,4.6,6.6
WR,Bryan Edwards,13,LV,WAS,29,5100,3600,4.5,6
WR,Kalif Raymond,13,DET,MIN,32,5200,4500,4.3,5.3
WR,Ben Skowronek,13,LAR,JAX,19,4800,3000,4,4.5
WR,Terry McLaurin,13,WAS,LV,6,7200,7400,3.7,5.2
WR,Emmanuel Sanders,13,BUF,NE,5,5800,4600,3.7,5.2
WR,Zay Jones,13,LV,WAS,29,5300,3200,3.6,5.1
WR,Freddie Swain,13,SEA,SF,9,4700,3200,3.3,4.8
WR,T.Y. Hilton,13,IND,HOU,21,5700,4400,3.2,4.2
WR,Tyreek Hill,13,KC,DEN,13,8500,8400,3.2,4.2
WR,Pharoh Cooper,13,NYG,MIA,30,4700,3000,3.1,4.1
WR,Devin Duvernay,13,BAL,PIT,24,5100,3600,3.1,4.1
WR,Demarcus Robinson,13,KC,DEN,13,5100,3000,3.1,4.1
WR,Trent Sherfield,13,SF,SEA,7,5000,3000,2.6,3.6
WR,Tre'Quan Smith,13,NO,DAL,27,5900,4600,2.5,3.5
WR,Corey Davis,13,NYJ,PHI,3,5900,4900,2.5,3.5
WR,DeVonta Smith,13,PHI,NYJ,22,6300,6100,2.5,3.5
WR,Courtland Sutton,13,DEN,KC,16,6000,5100,2.5,3.5
WR,Tajaé Sharpe,13,ATL,TB,14,5000,3700,2.5,4
WR,Noah Brown,13,DAL,NO,26,4700,3000,2.4,3.4
WR,Zach Pascal,13,IND,HOU,21,5100,3500,2.3,2.8
WR,Darius Slayton,13,NYG,MIA,30,5300,4600,2.3,3.3
WR,Marvin Jones Jr.,13,JAX,LAR,17,5600,4700,2.1,3.1
WR,Jaydon Mickens,13,JAX,LAR,17,4500,3000,2,3
WR,A.J. Green,13,ARI,CHI,26,5600,5000,1.9,2.4
WR,DeSean Jackson,13,LV,WAS,29,5200,4200,1.9,2.4
WR,Byron Pringle,13,KC,DEN,13,5300,3100,1.9,2.4
WR,Marquez Callaway,13,NO,DAL,27,5700,4700,1.8,2.3
WR,Mecole Hardman,13,KC,DEN,13,5500,3700,1.7,2.2
WR,Braxton Berrios,13,NYJ,PHI,3,4900,3000,1.6,2.1
WR,Cole Beasley,13,BUF,NE,5,5700,4400,1.6,2.1
WR,Malik Turner,13,DAL,NO,26,4600,3000,1.5,2
WR,Rondale Moore,13,ARI,CHI,26,5500,4700,1.5,2
WR,KhaDarel Hodge,13,DET,MIN,32,4800,3000,1.4,1.9
WR,Tavon Austin,13,JAX,LAR,17,5000,3100,1.4,1.9
WR,Tim Patrick,13,DEN,KC,16,5700,4600,1.4,1.9
WR,Jauan Jennings,13,SF,SEA,7,5300,3100,1.3,1.8
WR,Jalen Reagor,13,PHI,NYJ,22,5100,3200,1.2,1.7
WR,Ray-Ray McCloud,13,PIT,BAL,20,4800,3300,1.2,1.7
WR,Kendall Hinton,13,DEN,KC,16,4600,3000,1.2,1.7
WR,DeAndre Carter,13,WAS,LV,6,5400,3600,1.1,1.6
WR,Dyami Brown,13,WAS,LV,6,4700,3000,1.1,1.6
WR,Breshad Perriman,13,TB,ATL,23,4500,3000,1,1.5
WR,Tyler Johnson,13,TB,ATL,23,4900,3300,1,1.5
WR,Christian Kirk,13,ARI,CHI,26,6200,5600,0.9,1.4
WR,Denzel Mims,13,NYJ,PHI,3,4800,3000,0.9,1.4
WR,Nelson Agholor,13,NE,BUF,1,5500,3700,0.6,0.6
WR,Adam Thielen,13,MIN,DET,12,7600,7300,0.5,1
WR,Penny Hart,13,SEA,SF,9,4600,3000,0.4,0.9
WR,Kendrick Bourne,13,NE,BUF,1,5800,5200,0.3,0.3
WR,Dede Westbrook,13,MIN,DET,12,4700,3000,0.3,0.8
WR,Curtis Samuel,13,WAS,LV,6,5000,4000,0.3,0.8
WR,Cedrick Wilson,13,DAL,NO,26,5600,3500,0,0
WR,T.J. Vasher,13,DAL,NO,26,4500,3000,0,0
WR,Simi Fehoko,13,DAL,NO,26,4500,3000,0,0
WR,Kenny Stills,13,NO,DAL,27,4600,3000,0,0
WR,Andy Isabella,13,ARI,CHI,26,4500,3000,0,0
WR,Antoine Wesley,13,ARI,CHI,26,4900,3100,0,0
WR,Christian Blake,13,ATL,TB,14,4700,3000,0,0
WR,Frank Darby,13,ATL,TB,14,4600,3000,0,0
WR,Marquise Goodwin,13,CHI,ARI,11,5200,3600,0,0
WR,Allen Robinson II,13,CHI,ARI,11,5700,5000,0,0
WR,Rodney Adams,13,CHI,ARI,11,4500,3000,0,0
WR,Mike Thomas,13,CIN,LAC,2,4600,3000,0,0
WR,Stanley Morgan,13,CIN,LAC,2,4500,3000,0,0
WR,Trenton Irwin,13,CIN,LAC,2,4500,3000,0,0
WR,Trinity Benson,13,DET,MIN,32,4900,3000,0,0
WR,Tom Kennedy,13,DET,MIN,32,4700,3000,0,0
WR,Chris Conley,13,HOU,IND,25,4800,3500,0,0
WR,Chris Moore,13,HOU,IND,25,4900,3000,0,0
WR,Davion Davis,13,HOU,IND,25,4500,3000,0,0
WR,Nico Collins,13,HOU,IND,25,5200,3100,0,0
WR,Dezmon Patmon,13,IND,HOU,21,4500,3000,0,0
WR,Mike Strachan,13,IND,HOU,21,4600,3000,0,0
WR,Andre Roberts,13,LAC,CIN,8,4500,3000,0,0
WR,Joshua Palmer,13,LAC,CIN,8,4900,3000,0,0
WR,Preston Williams,13,MIA,NYG,15,4700,3000,0,0
WR,Dan Chisena,13,MIN,DET,12,4500,3000,0,0
WR,Ihmir Smith-Marsette,13,MIN,DET,12,4500,3000,0,0
WR,Sterling Shepard,13,NYG,MIA,30,6000,4900,0,0
WR,John Ross,13,NYG,MIA,30,5100,3400,0,0
WR,Collin Johnson,13,NYG,MIA,30,4700,3000,0,0
WR,Kadarius Toney,13,NYG,MIA,30,5600,5400,0,0
WR,Keelan Cole,13,NYJ,PHI,3,5000,3200,0,0
WR,Jeff Smith,13,NYJ,PHI,3,4600,3000,0,0
WR,Greg Ward,13,PHI,NYJ,22,4800,3000,0,0
WR,J.J. Arcega-Whiteside,13,PHI,NYJ,22,4700,3000,0,0
WR,Scotty Miller,13,TB,ATL,23,4800,3000,0,0
WR,Jaelon Darden,13,TB,ATL,23,4600,3000,0,0
WR,Brandon Powell,13,LAR,JAX,19,4500,3000,0,0
WR,J.J. Koski,13,LAR,JAX,19,4700,3000,0,0
WR,Dillon Stoner,13,LV,WAS,29,4500,3000,0,0
WR,Cam Sims,13,WAS,LV,6,5000,3000,0,0
WR,Antonio Gandy-Golden,13,WAS,LV,6,4500,3000,0,0
WR,Dax Milne,13,WAS,LV,6,4700,3000,0,0
WR,Miles Boykin,13,BAL,PIT,24,4600,3000,0,0
WR,James Proche II,13,BAL,PIT,24,4600,3000,0,0
WR,Tylan Wallace,13,BAL,PIT,24,4500,3000,0,0
WR,Rashod Bateman,13,BAL,PIT,24,5500,4900,0,0
WR,James Washington,13,PIT,BAL,20,5000,3500,0,0
WR,Cody White,13,PIT,BAL,20,4500,3000,0,0
WR,River Cracraft,13,SF,SEA,7,4500,3000,0,0
WR,Deebo Samuel,13,SF,SEA,7,8200,8300,0,0
WR,Josh Gordon,13,KC,DEN,13,5000,3000,0,0
WR,Marcus Kemp,13,KC,DEN,13,4600,3000,0,0
WR,Jake Kumerow,13,BUF,NE,5,4500,3000,0,0
WR,Isaiah McKenzie,13,BUF,NE,5,4600,3000,0,0
WR,Marquez Stevenson,13,BUF,NE,5,4500,3000,0,0
WR,Matthew Slater,13,NE,BUF,1,4500,3000,0,0
WR,Jakobi Meyers,13,NE,BUF,1,5700,5000,0,0
WR,Gunner Olszewski,13,NE,BUF,1,4500,3000,0,0
WR,Travis Benjamin,13,SF,SEA,7,4500,3000,-2,-1
WR,Diontae Spencer,13,DEN,KC,16,4500,3000,-2,-1
WR,N'Keal Harry,13,NE,BUF,1,4800,3000,-2,-1
WR,Davante Adams,14,GB,CHI,23,8400,8600,29.1,37.1
WR,Cooper Kupp,14,LAR,ARI,13,9000,9200,24.8,34.3
WR,Tyler Lockett,14,SEA,HOU,21,7300,6700,24.7,30.2
WR,Ja'Marr Chase,14,CIN,SF,14,7200,6900,22.8,25.3
WR,Hunter Renfrow,14,LV,KC,9,6700,6100,22.2,32.7
WR,Mike Evans,14,TB,BUF,1,7200,6600,18.1,21.1
WR,Allen Lazard,14,GB,CHI,23,5100,3500,17.9,20.9
WR,Robby Anderson,14,CAR,ATL,25,5500,4300,17.9,21.4
WR,Jakeem Grant Sr.,14,CHI,GB,17,5000,3500,17.6,18.1
WR,Justin Jefferson,14,MIN,PIT,23,8500,8300,17,20.5
WR,Odell Beckham Jr.,14,LAR,ARI,13,5900,5300,16.7,19.7
WR,Jalen Guyton,14,LAC,NYG,18,5200,3400,16.2,17.7
WR,K.J. Osborn,14,MIN,PIT,23,5500,4100,15.8,17.3
WR,Brandon Aiyuk,14,SF,CIN,16,6400,5800,15.6,18.6
WR,Chris Godwin,14,TB,BUF,1,7700,7100,15.5,23.5
WR,Joshua Palmer,14,LAC,NYG,18,4700,3000,15.1,17.6
WR,Damiere Byrd,14,CHI,GB,17,4900,3300,14.6,15.6
WR,James Washington,14,PIT,MIN,32,4900,3300,14.5,16.5
WR,Cam Sims,14,WAS,DAL,30,4600,3000,14.4,15.9
WR,Brandin Cooks,14,HOU,SEA,6,6500,5700,14.1,21.1
WR,Tee Higgins,14,CIN,SF,14,6800,6400,13.9,19.4
WR,Van Jefferson,14,LAR,ARI,13,6100,5500,13.8,14.8
WR,Rashod Bateman,14,BAL,CLE,11,5400,4700,13.8,20.3
WR,A.J. Green,14,ARI,LAR,12,5600,5000,13.7,20.2
WR,Amari Cooper,14,DAL,WAS,29,6700,5900,13.6,16.1
WR,Chase Claypool,14,PIT,MIN,32,6200,6100,13.5,17.5
WR,Diontae Johnson,14,PIT,MIN,32,7800,7100,12.8,15.3
WR,Gabriel Davis,14,BUF,TB,13,4800,3500,12.8,15.3
WR,Jarvis Landry,14,CLE,BAL,22,6400,5400,12.6,15.1
WR,Deebo Samuel,14,SF,CIN,16,8500,8000,12.4,12.9
WR,Breshad Perriman,14,TB,BUF,1,4500,3000,12.3,12.8
WR,Donovan Peoples-Jones,14,CLE,BAL,22,5200,3900,11.5,14
WR,DJ Moore,14,CAR,ATL,25,6800,6200,11.4,14.4
WR,Amon-Ra St. Brown,14,DET,DEN,8,5800,5000,11.3,15.3
WR,Kalif Raymond,14,DET,DEN,8,5000,4200,11.1,13.1
WR,CeeDee Lamb,14,DAL,WAS,29,7800,7200,11.1,14.6
WR,Stefon Diggs,14,BUF,TB,13,8200,8100,10.9,14.4
WR,Cole Beasley,14,BUF,TB,13,5900,5000,10.9,15.4
WR,Christian Kirk,14,ARI,LAR,12,5800,5400,10.1,11.6
WR,Marvin Jones Jr.,14,JAX,TEN,31,5400,4500,10,13
WR,Tyreek Hill,14,KC,LV,4,8700,8500,9.6,11.6
WR,Nico Collins,14,HOU,SEA,6,5100,3000,9.4,11.9
WR,Mike Williams,14,LAC,NYG,18,6900,6000,9.1,12.1
WR,Laquon Treadwell,14,JAX,TEN,31,5100,3400,8.8,10.8
WR,Michael Gallup,14,DAL,WAS,29,6100,5500,8.5,11
WR,Russell Gage,14,ATL,CAR,7,6200,5700,8.4,10.4
WR,Tyler Boyd,14,CIN,SF,14,5900,5000,8.3,10.3
WR,Braxton Berrios,14,NYJ,NO,28,4700,3000,8.2,11.2
WR,Josh Gordon,14,KC,LV,4,4900,3000,7.9,8.9
WR,DeAndre Hopkins,14,ARI,LAR,12,7300,6500,7.9,10.4
WR,Jerry Jeudy,14,DEN,DET,20,6300,5600,7.2,9.7
WR,Mecole Hardman,14,KC,LV,4,5300,3900,6.9,7.9
WR,Josh Reynolds,14,DET,DEN,8,5300,4100,6.7,8.2
WR,Marquise Brown,14,BAL,CLE,11,7000,6300,6.6,9.1
WR,Brandon Zylstra,14,CAR,ATL,25,4800,3000,6.5,8.5
WR,DK Metcalf,14,SEA,HOU,21,7300,6500,6.3,8.3
WR,Ray-Ray McCloud,14,PIT,MIN,32,4800,3200,6.2,9.2
WR,Jauan Jennings,14,SF,CIN,16,4900,3300,6.1,7.6
WR,Laviska Shenault Jr.,14,JAX,TEN,31,5300,4300,5.4,7.4
WR,Adam Humphries,14,WAS,DAL,30,5000,3500,5.4,7.4
WR,Julio Jones,14,TEN,JAX,26,6500,5400,5.3,7.3
WR,D.J. Montgomery,14,NYJ,NO,28,1,3000,5.1,6.6
WR,Tre'Quan Smith,14,NO,NYJ,15,5600,4800,4.8,6.3
WR,Nick Westbrook-Ikhine,14,TEN,JAX,26,5700,4500,4.6,6.1
WR,Marquez Callaway,14,NO,NYJ,15,5500,4300,4.4,5.4
WR,Sterling Shepard,14,NYG,LAC,2,5700,4600,3.7,4.7
WR,Marquez Valdes-Scantling,14,GB,CHI,23,5400,4300,3.5,5
WR,Bryan Edwards,14,LV,KC,9,5000,3300,3.4,4.4
WR,Jamison Crowder,14,NYJ,NO,28,5500,4700,3.4,4.9
WR,Byron Pringle,14,KC,LV,4,5300,3200,3.3,3.8
WR,Keelan Cole,14,NYJ,NO,28,4700,3100,3.2,3.7
WR,Tavon Austin,14,JAX,TEN,31,4700,3200,3.2,4.7
WR,Tyler Johnson,14,TB,BUF,1,4700,3200,3.2,4.7
WR,Tim Patrick,14,DEN,DET,20,5700,4800,3.1,4.1
WR,Rondale Moore,14,ARI,LAR,12,5300,4400,3.1,4.6
WR,Emmanuel Sanders,14,BUF,TB,13,5800,4900,3,3.5
WR,Chris Conley,14,HOU,SEA,6,4800,3300,3,4
WR,Zay Jones,14,LV,KC,9,4800,3400,3,6.5
WR,Cedrick Wilson,14,DAL,WAS,29,5300,3500,2.8,3.8
WR,Devin Duvernay,14,BAL,CLE,11,4900,3500,2.7,3.7
WR,Kenny Golladay,14,NYG,LAC,2,5500,4800,2.5,3.5
WR,DeSean Jackson,14,LV,KC,9,5100,3900,2.4,2.9
WR,Darnell Mooney,14,CHI,GB,17,6400,5700,2.4,2.9
WR,Allen Robinson II,14,CHI,GB,17,5500,5000,2.4,3.4
WR,Davion Davis,14,HOU,SEA,6,4500,3000,2.2,2.7
WR,DeAndre Carter,14,WAS,DAL,30,5200,3400,2.2,3.2
WR,Penny Hart,14,SEA,HOU,21,4600,3000,2.1,2.6
WR,Chester Rogers,14,TEN,JAX,26,5200,3400,1.8,2.3
WR,Phillip Dorsett II,14,HOU,SEA,6,4500,3000,1.4,1.9
WR,Racey McMath,14,TEN,JAX,26,4500,3000,1.4,1.9
WR,Courtland Sutton,14,DEN,DET,20,6000,5300,1.4,1.9
WR,Tajaé Sharpe,14,ATL,CAR,7,4800,3600,1.2,1.7
WR,Tom Kennedy,14,DET,DEN,8,4700,3000,1.2,1.7
WR,John Ross,14,NYG,LAC,2,4700,3200,1.2,1.7
WR,Cody Hollister,14,TEN,JAX,26,4600,3000,1.1,1.6
WR,Pharoh Cooper,14,NYG,LAC,2,4600,3000,1.1,1.6
WR,Easop Winston Jr.,14,NO,NYJ,15,4500,3000,1,1.5
WR,Isaiah McKenzie,14,BUF,TB,13,4600,3000,1,1.5
WR,Freddie Swain,14,SEA,HOU,21,4700,3300,0.3,0.3
WR,Adam Thielen,14,MIN,PIT,23,7500,7200,0,0
WR,Dede Westbrook,14,MIN,PIT,23,4900,3100,0,0
WR,Dan Chisena,14,MIN,PIT,23,4500,3000,0,0
WR,Ihmir Smith-Marsette,14,MIN,PIT,23,4500,3000,0,0
WR,Cody White,14,PIT,MIN,32,4500,3000,0,0
WR,Christian Blake,14,ATL,CAR,7,4600,3000,0,0
WR,Olamide Zaccheaus,14,ATL,CAR,7,5100,3800,0,0
WR,Frank Darby,14,ATL,CAR,7,4500,3000,0,0
WR,Sammy Watkins,14,BAL,CLE,11,5300,4600,0,0
WR,Miles Boykin,14,BAL,CLE,11,4600,3000,0,0
WR,James Proche II,14,BAL,CLE,11,4600,3000,0,0
WR,Tylan Wallace,14,BAL,CLE,11,4500,3000,0,0
WR,Alex Erickson,14,CAR,ATL,25,4600,3000,0,0
WR,Shi Smith,14,CAR,ATL,25,4600,3000,0,0
WR,Terrace Marshall Jr.,14,CAR,ATL,25,4700,3100,0,0
WR,Rashard Higgins,14,CLE,BAL,22,4700,3300,0,0
WR,JoJo Natson,14,CLE,BAL,22,4500,3000,0,0
WR,Anthony Schwartz,14,CLE,BAL,22,4700,3000,0,0
WR,Malik Turner,14,DAL,WAS,29,4600,3000,0,0
WR,Simi Fehoko,14,DAL,WAS,29,4500,3000,0,0
WR,Chris Moore,14,HOU,SEA,6,4900,3000,0,0
WR,Jaydon Mickens,14,JAX,TEN,31,4500,3000,0,0
WR,Demarcus Robinson,14,KC,LV,4,5000,3000,0,0
WR,Marcus Kemp,14,KC,LV,4,4600,3000,0,0
WR,Tyron Johnson,14,LV,KC,9,4600,3000,0,0
WR,Dillon Stoner,14,LV,KC,9,4500,3000,0,0
WR,Kenny Stills,14,NO,NYJ,15,4600,3000,0,0
WR,Kevin White,14,NO,NYJ,15,4600,0,0,0
WR,Ty Montgomery,14,NO,NYJ,15,4900,3300,0,0
WR,Lil'Jordan Humphrey,14,NO,NYJ,15,4800,3200,0,0
WR,Vyncint Smith,14,NYJ,NO,28,4500,3000,0,0
WR,Jeff Smith,14,NYJ,NO,28,4600,3000,0,0
WR,Denzel Mims,14,NYJ,NO,28,4700,3000,0,0
WR,Dee Eskridge,14,SEA,HOU,21,4900,3200,0,0
WR,Dez Fitzpatrick,14,TEN,JAX,26,4700,3600,0,0
WR,Curtis Samuel,14,WAS,DAL,30,4800,3600,0,0
WR,Terry McLaurin,14,WAS,DAL,30,7100,7000,0,0
WR,Antonio Gandy-Golden,14,WAS,DAL,30,4500,3000,0,0
WR,Dax Milne,14,WAS,DAL,30,4600,3000,0,0
WR,Dyami Brown,14,WAS,DAL,30,4700,3000,0,0
WR,Diontae Spencer,14,DEN,DET,20,4500,3000,0,0
WR,Kendall Hinton,14,DEN,DET,20,4700,3000,0,0
WR,KhaDarel Hodge,14,DET,DEN,8,4700,3000,0,0
WR,Trinity Benson,14,DET,DEN,8,4600,3000,0,0
WR,Andre Roberts,14,LAC,NYG,18,4500,3000,0,0
WR,Keenan Allen,14,LAC,NYG,18,7600,7600,0,0
WR,Jason Moore Jr.,14,LAC,NYG,18,4500,3000,0,0
WR,Darius Slayton,14,NYG,LAC,2,5000,4400,0,0
WR,Collin Johnson,14,NYG,LAC,2,4600,3000,0,0
WR,Kadarius Toney,14,NYG,LAC,2,5300,5100,0,0
WR,Travis Toivonen,14,NYG,LAC,2,4500,0,0,0
WR,Jake Kumerow,14,BUF,TB,13,4500,3000,0,0
WR,Marquez Stevenson,14,BUF,TB,13,4500,3000,0,0
WR,Mike Thomas,14,CIN,SF,14,4600,3000,0,0
WR,Stanley Morgan,14,CIN,SF,14,4500,3000,0,0
WR,Trenton Irwin,14,CIN,SF,14,4500,3000,0,0
WR,Travis Benjamin,14,SF,CIN,16,4500,3000,0,0
WR,River Cracraft,14,SF,CIN,16,4500,3000,0,0
WR,Trent Sherfield,14,SF,CIN,16,4700,3000,0,0
WR,Scotty Miller,14,TB,BUF,1,4700,3000,0,0
WR,Jaelon Darden,14,TB,BUF,1,4600,3000,0,0
WR,Marquise Goodwin,14,CHI,GB,17,5200,3400,0,0
WR,Equanimeous St. Brown,14,GB,CHI,23,4700,3100,0,0
WR,Malik Taylor,14,GB,CHI,23,4600,3000,0,0
WR,Amari Rodgers,14,GB,CHI,23,4500,3000,0,0
WR,Andy Isabella,14,ARI,LAR,12,4500,3000,0,0
WR,Antoine Wesley,14,ARI,LAR,12,4700,3000,0,0
WR,Brandon Powell,14,LAR,ARI,13,4500,3000,0,0
WR,Ben Skowronek,14,LAR,ARI,13,4900,3000,0,0
WR,Cooper Kupp,15,LAR,SEA,6,9500,8800,30.2,37.7
WR,Tyreek Hill,15,KC,LAC,2,8300,8300,26.8,35.8
WR,Brandin Cooks,15,HOU,JAX,19,6900,5800,25.7,32.2
WR,Gabriel Davis,15,BUF,CAR,5,4900,3700,23,25.5
WR,Christian Kirk,15,ARI,DET,13,6000,5300,19.9,24.4
WR,Amon-Ra St. Brown,15,DET,ARI,21,5900,5200,19.5,23.5
WR,Russell Gage,15,ATL,SF,20,6000,5800,19.1,23.1
WR,Marquez Valdes-Scantling,15,GB,BAL,18,5500,4900,18.3,20.8
WR,Tyler Boyd,15,CIN,DEN,8,5700,4900,18.1,20.6
WR,Deebo Samuel,15,SF,ATL,26,8200,8200,16.9,18.9
WR,Keenan Allen,15,LAC,KC,10,7500,7500,16.8,19.8
WR,Josh Reynolds,15,DET,ARI,21,5100,4300,15.8,18.8
WR,DeVante Parker,15,MIA,NYJ,10,5800,4300,14.8,16.8
WR,Marquez Callaway,15,NO,TB,14,5300,4200,14.2,20.2
WR,Davante Adams,15,GB,BAL,18,8500,8900,13.4,16.4
WR,Justin Jefferson,15,MIN,CHI,29,8800,8000,12.7,14.7
WR,Tim Patrick,15,DEN,CIN,17,5500,4500,11.7,13.2
WR,Stefon Diggs,15,BUF,CAR,5,7800,7700,11.5,13.5
WR,Jauan Jennings,15,SF,ATL,26,4900,3600,10.3,11.8
WR,Braxton Berrios,15,NYJ,MIA,27,5300,3200,10.1,10.6
WR,Greg Ward,15,PHI,WAS,30,4700,3000,9.8,10.8
WR,DJ Moore,15,CAR,BUF,1,6600,6000,9.8,12.8
WR,Zay Jones,15,LV,CLE,10,5100,7800,9.7,12.7
WR,Marquise Brown,15,BAL,GB,16,6700,5900,9.3,14.3
WR,Darnell Mooney,15,CHI,MIN,32,6100,5000,9.1,11.6
WR,Laquon Treadwell,15,JAX,HOU,22,5100,3300,8.7,11.7
WR,A.J. Green,15,ARI,DET,13,5700,4900,8.4,10.4
WR,Bryan Edwards,15,LV,CLE,10,5400,7500,8.3,9.8
WR,Jakobi Meyers,15,NE,IND,15,5900,5100,8.3,11.3
WR,DK Metcalf,15,SEA,LAR,13,7500,6400,8.2,11.2
WR,Jalen Guyton,15,LAC,KC,10,5500,3700,8,9
WR,CeeDee Lamb,15,DAL,NYG,23,7400,7400,8,11
WR,Chris Godwin,15,TB,NO,25,8000,7600,7.9,10.9
WR,Kendrick Bourne,15,NE,IND,15,6000,5300,7.8,9.3
WR,Robby Anderson,15,CAR,BUF,1,5800,4800,7.7,9.2
WR,Diontae Johnson,15,PIT,TEN,31,7200,7500,7.3,9.8
WR,Ihmir Smith-Marsette,15,MIN,CHI,29,4500,3000,7.2,7.7
WR,Jalen Reagor,15,PHI,WAS,30,5000,3400,7.2,8.7
WR,Laviska Shenault Jr.,15,JAX,HOU,22,5400,4300,6.9,8.9
WR,Kenny Golladay,15,NYG,DAL,28,5400,5300,6.8,8.3
WR,Donovan Peoples-Jones,15,CLE,LV,5,5900,11400,6.8,8.8
WR,Damiere Byrd,15,CHI,MIN,32,5000,3300,6.7,10.2
WR,Isaiah Ford,15,MIA,NYJ,10,4700,3000,6.6,8.1
WR,Jamison Crowder,15,NYJ,MIA,27,5700,5000,6.5,9
WR,Mike Williams,15,LAC,KC,10,7000,6200,6.4,7.9
WR,Olamide Zaccheaus,15,ATL,SF,20,5000,3500,6.3,7.3
WR,N'Keal Harry,15,NE,IND,15,4700,3000,6.2,7.2
WR,Ben Skowronek,15,LAR,SEA,6,4800,3000,6.2,8.2
WR,Terry McLaurin,15,WAS,PHI,5,7300,6500,6.1,7.1
WR,Tyler Johnson,15,TB,NO,25,4800,3000,6.1,8.1
WR,DeVonta Smith,15,PHI,WAS,30,6000,5800,5.5,7
WR,Cole Beasley,15,BUF,CAR,5,5800,4900,5.5,7.5
WR,Nelson Agholor,15,NE,IND,15,5500,3500,5.4,7.4
WR,Phillip Dorsett II,15,HOU,JAX,19,4500,3000,5.3,6.3
WR,Nick Westbrook-Ikhine,15,TEN,PIT,24,5300,4200,5.2,7.2
WR,James Washington,15,PIT,TEN,31,5100,3500,5.1,6.6
WR,Chester Rogers,15,TEN,PIT,24,4900,3200,5,7
WR,Michael Gallup,15,DAL,NYG,23,5900,5500,4.7,6.2
WR,Hunter Renfrow,15,LV,CLE,10,7400,15600,4.7,6.2
WR,Van Jefferson,15,LAR,SEA,6,6400,5400,4.3,5.3
WR,Brandon Aiyuk,15,SF,ATL,26,6600,6300,4.1,4.6
WR,Ashton Dulin,15,IND,NE,5,5000,3100,3.9,3.9
WR,Rashard Higgins,15,CLE,LV,5,4700,2700,3.9,5.4
WR,Allen Lazard,15,GB,BAL,18,5300,4000,3.8,4.8
WR,Adam Humphries,15,WAS,PHI,5,5200,3800,3.8,5.3
WR,Byron Pringle,15,KC,LAC,2,5200,3200,3.7,5.2
WR,K.J. Osborn,15,MIN,CHI,29,6000,4200,3.6,5.1
WR,DeAndre Carter,15,WAS,PHI,5,5100,3600,3.4,4.4
WR,Antoine Wesley,15,ARI,DET,13,4700,3000,3.4,4.9
WR,Darius Slayton,15,NYG,DAL,28,5000,4500,3.3,4.3
WR,Tee Higgins,15,CIN,DEN,8,6800,6500,3.3,4.3
WR,Freddie Swain,15,SEA,LAR,13,4700,3400,3,3.5
WR,Kalif Raymond,15,DET,ARI,21,5200,4400,3,4
WR,Zach Pascal,15,IND,NE,5,5300,3300,2.8,3.3
WR,Scotty Miller,15,TB,NO,25,4700,3000,2.8,3.8
WR,Devin Duvernay,15,BAL,GB,16,5000,3600,2.8,4.3
WR,Brandon Zylstra,15,CAR,BUF,1,5000,3000,2.7,3.7
WR,Tre'Quan Smith,15,NO,TB,14,5400,4700,2.7,3.7
WR,Sterling Shepard,15,NYG,DAL,28,5600,4700,2.5,3.5
WR,Rondale Moore,15,ARI,DET,13,5500,4400,2.5,4
WR,T.Y. Hilton,15,IND,NE,5,5600,4200,2.4,2.9
WR,Nico Collins,15,HOU,JAX,19,5300,3500,2.4,3.4
WR,Marvin Jones Jr.,15,JAX,HOU,22,5700,4600,2.4,3.4
WR,Quez Watkins,15,PHI,WAS,30,5500,3700,2.4,3.4
WR,Chris Conley,15,HOU,JAX,19,4900,3600,2.2,3.2
WR,Courtland Sutton,15,DEN,CIN,17,5600,4600,2.2,3.2
WR,Collin Johnson,15,NYG,DAL,28,4600,3000,2.1,2.6
WR,Mecole Hardman,15,KC,LAC,2,5300,3500,2.1,3.1
WR,Joshua Palmer,15,LAC,KC,10,5200,3200,2,2.5
WR,Isaiah McKenzie,15,BUF,CAR,5,4600,3000,2,2.5
WR,Chase Claypool,15,PIT,TEN,31,6400,5900,1.9,1.9
WR,Mike Evans,15,TB,NO,25,7400,7200,1.9,2.4
WR,Andy Isabella,15,ARI,DET,13,4500,3000,1.8,2.3
WR,Cam Sims,15,WAS,PHI,5,5000,3200,1.8,2.3
WR,Amari Cooper,15,DAL,NYG,23,7000,6400,1.8,2.8
WR,Jakeem Grant Sr.,15,CHI,MIN,32,5200,3900,1.7,1.7
WR,Tavon Austin,15,JAX,HOU,22,4900,3200,1.6,2.1
WR,DeSean Jackson,15,LV,CLE,10,5200,8700,1.6,2.1
WR,Albert Wilson,15,MIA,NYJ,10,5000,3400,1.5,2
WR,Keelan Cole,15,NYJ,MIA,27,5000,3500,1.4,1.9
WR,James Proche II,15,BAL,GB,16,4600,3000,1.3,1.8
WR,Michael Pittman Jr.,15,IND,NE,5,6800,5900,1.2,1.7
WR,Odell Beckham Jr.,15,LAR,SEA,6,6500,4900,1.2,1.7
WR,Malik Turner,15,DAL,NYG,23,4600,3000,1.1,1.6
WR,Cody Hollister,15,TEN,PIT,24,4600,3000,1,1.5
WR,Tylan Wallace,15,BAL,GB,16,4500,3000,1,1.5
