P,Player,Week,Team,Opp,Opp Rank,FDSal,,DK Salary,FD Points,DK Points,DK Multiplier
WR,Chase Claypool,5,PIT,DEN,13,6000,6000,6,21.5,27,4.5
WR,Courtland Sutton,5,DEN,PIT,28,6100,5500,5.5,21.5,28,5.1
WR,Amon-Ra St. Brown,16,DET,ATL,28,6500,5600,5.6,21.5,26,4.6
WR,Randall Cobb,4,GB,PIT,26,4900,3300,3.3,21.4,23.9,7.2
WR,Tyreek Hill,8,KC,NYG,17,8200,8300,8.3,21.4,27.4,3.3
WR,Chris Godwin,7,TB,CHI,21,6700,5900,5.9,21.1,28.1,4.8
WR,Robert Woods,5,LAR,SEA,22,6300,5500,5.5,21,30,5.5
WR,Cooper Kupp,8,LAR,HOU,6,9200,9000,9,21,27.5,3.1
WR,Rondale Moore,2,ARI,MIN,24,4900,4000,4,20.9,27.4,6.9
WR,Adam Thielen,12,MIN,SF,7,7200,6700,6.7,20.7,23.2,3.5
WR,DeVonta Smith,10,PHI,DEN,12,6200,5900,5.9,20.6,22.6,3.8
WR,Darnell Mooney,11,CHI,BAL,14,6000,5200,5.2,20.6,26.1,5.0
WR,Kendrick Bourne,12,NE,TEN,32,5800,4900,4.9,20.6,23.1,4.7
WR,Ja'Marr Chase,3,CIN,PIT,22,5900,5400,5.4,20.5,22.5,4.2
WR,Courtland Sutton,2,DEN,JAX,16,6200,5200,5.2,20.4,27.9,5.4
WR,Tee Higgins,12,CIN,PIT,22,6200,5400,5.4,20.4,26.4,4.9
WR,Marquise Brown,2,BAL,KC,11,6200,5600,5.6,20.3,26.3,4.7
WR,Marquez Valdes-Scantling,11,GB,MIN,26,5200,3700,3.7,20.3,25.3,6.8
WR,Deebo Samuel,12,SF,MIN,31,8000,7900,7.9,20.3,20.8,2.6
WR,Tyler Lockett,8,SEA,JAX,18,6600,6100,6.1,20.2,29.2,4.8
WR,Jaylen Waddle,16,MIA,NO,24,6900,6400,6.4,20.2,25.2,3.9
WR,Deebo Samuel,8,SF,CHI,29,7800,7400,7.4,20.1,26.1,3.5
WR,DeVonta Smith,9,PHI,LAC,2,5800,5200,5.2,20.1,25.6,4.9
WR,Henry Ruggs III,2,LV,PIT,18,5500,4200,4.2,20,25.5,6.1
WR,Keenan Allen,13,LAC,CIN,8,7300,7500,7.5,19.9,22.4,3.0
WR,Christian Kirk,15,ARI,DET,13,6000,5300,5.3,19.9,24.4,4.6
WR,Antonio Brown,6,TB,PHI,7,7000,5900,5.9,19.8,24.3,4.1
WR,Amon-Ra St. Brown,13,DET,MIN,32,5400,4400,4.4,19.8,24.8,5.6
WR,DK Metcalf,3,SEA,MIN,31,7200,7300,7.3,19.7,25.7,3.5
WR,Diontae Johnson,4,PIT,GB,10,7000,6200,6.2,19.7,24.2,3.9
WR,Diontae Johnson,11,PIT,LAC,2,7000,6500,6.5,19.6,26.1,4.0
WR,Justin Jefferson,18,MIN,CHI,21,8500,8100,8.1,19.6,25.1,3.1
WR,DeSean Jackson,3,LAR,TB,28,5000,3000,3,19.5,24,8.0
WR,Marvin Jones Jr.,6,JAX,MIA,29,6100,5500,5.5,19.5,26,4.7
WR,Amon-Ra St. Brown,15,DET,ARI,21,5900,5200,5.2,19.5,23.5,4.5
WR,Chris Moore,5,HOU,NE,4,4500,3000,3,19.4,24.9,8.3
WR,Courtland Sutton,6,DEN,LV,3,6600,6200,6.2,19.4,23.4,3.8
WR,Stefon Diggs,6,BUF,TEN,32,7600,7400,7.4,19.4,23.9,3.2
WR,Kalif Raymond,18,DET,GB,12,5000,3700,3.7,19.4,24.4,6.6
WR,DK Metcalf,8,SEA,JAX,18,7400,6800,6.8,19.3,22.3,3.3
WR,Olamide Zaccheaus,9,ATL,NO,28,5200,3600,3.6,19.3,20.8,5.8
WR,Robert Woods,8,LAR,HOU,6,6800,6300,6.3,19.2,20.7,3.3
WR,Corey Davis,4,NYJ,TEN,31,5700,5000,5,19.1,24.1,4.8
WR,Darnell Mooney,9,CHI,PIT,24,5900,4900,4.9,19.1,20.6,4.2
WR,Russell Gage,15,ATL,SF,20,6000,5800,5.8,19.1,23.1,4.0
WR,DeAndre Hopkins,6,ARI,CLE,14,7700,7800,7.8,19,20.5,2.6
WR,Emmanuel Sanders,5,BUF,KC,26,6200,4900,4.9,18.9,20.4,4.2
WR,Terry McLaurin,11,WAS,CAR,3,7000,7000,7,18.8,24.3,3.5
WR,Mike Williams,2,LAC,DAL,27,5600,6100,6.1,18.6,22.1,3.6
WR,Kendrick Bourne,3,NE,NO,14,4700,3400,3.4,18.6,21.6,6.4
WR,Stefon Diggs,18,BUF,NYJ,13,7700,7800,7.8,18.6,23.1,3.0
WR,Darnell Mooney,18,CHI,MIN,32,6300,5900,5.9,18.6,27.6,4.7
WR,Cooper Kupp,17,LAR,BAL,29,10200,9500,9.5,18.5,21.5,2.3
WR,Deebo Samuel,19,SF,DAL,24,8700,7900,7.9,18.5,20,2.5
WR,Freddie Swain,2,SEA,TEN,32,4500,3400,3.4,18.5,21,6.2
WR,Michael Pittman Jr.,7,IND,SF,18,6400,5100,5.1,18.5,23.5,4.6
WR,Justin Jefferson,10,MIN,LAC,2,7500,7700,7.7,18.4,25.9,3.4
WR,Marquise Goodwin,11,CHI,BAL,14,5100,3300,3.3,18.4,23.4,7.1
WR,Ja'Marr Chase,19,CIN,LV,5,8200,7800,7.8,18.4,25.9,3.3
WR,Marvin Jones Jr.,18,JAX,IND,19,5400,4300,4.3,18.3,21.8,5.1
WR,Brandin Cooks,2,HOU,CLE,20,6600,5900,5.9,18.3,22.8,3.9
WR,Cole Beasley,6,BUF,TEN,32,5500,4300,4.3,18.3,21.8,5.1
WR,Marquez Valdes-Scantling,15,GB,BAL,18,5500,4900,4.9,18.3,20.8,4.2
WR,Mike Williams,11,LAC,PIT,19,6500,6200,6.2,18.2,20.7,3.3
WR,Adam Thielen,11,MIN,GB,5,7100,6600,6.6,18.2,22.2,3.4
WR,Kristian Wilkerson,17,NE,JAX,18,4500,3000,3,18.2,20.2,6.7
WR,Byron Pringle,19,KC,PIT,12,5400,3900,3.9,18.2,20.7,5.3
WR,Kalif Raymond,4,DET,CHI,24,5300,4400,4.4,18.1,19.6,4.5
WR,Tyreek Hill,6,KC,WAS,28,8700,8500,8.5,18.1,22.6,2.7
WR,Mike Evans,14,TB,BUF,1,7200,6600,6.6,18.1,21.1,3.2
WR,Tyler Boyd,15,CIN,DEN,8,5700,4900,4.9,18.1,20.6,4.2
WR,Van Jefferson,4,LAR,ARI,23,5000,3900,3.9,18,21,5.4
WR,Brandon Aiyuk,11,SF,JAX,16,6000,5000,5,18,21.5,4.3
WR,Stefon Diggs,16,BUF,NE,4,7500,7600,7.6,18,21.5,2.8
WR,Amari Cooper,16,DAL,WAS,30,6500,6200,6.2,18,21.5,3.5
WR,DJ Moore,2,CAR,NO,4,6700,5900,5.9,17.9,21.9,3.7
WR,Michael Pittman Jr.,5,IND,BAL,8,5800,5200,5.2,17.9,20.9,4.0
WR,Deonte Harris,13,NO,DAL,27,5200,3600,3.6,17.9,19.9,5.5
WR,Allen Lazard,14,GB,CHI,23,5100,3500,3.5,17.9,20.9,6.0
WR,Robby Anderson,14,CAR,ATL,25,5500,4300,4.3,17.9,21.4,5.0
WR,Malik Turner,9,DAL,DEN,11,4500,3000,3,17.8,20.3,6.8
WR,Ihmir Smith-Marsette,18,MIN,CHI,21,5000,3000,3,17.8,22.3,7.4
WR,Deebo Samuel,21,SF,LAR,17,8400,7200,7.2,17.8,19.8,2.8
WR,DeAndre Hopkins,5,ARI,SF,17,7500,7600,7.6,17.7,20.7,2.7
WR,Cooper Kupp,10,LAR,SF,10,9500,9500,9.5,17.7,26.2,2.8
WR,DeSean Jackson,12,LV,DAL,19,5000,3100,3.1,17.7,22.2,7.2
WR,K.J. Osborn,2,MIN,ARI,8,4600,3300,3.3,17.6,20.1,6.1
WR,Hunter Renfrow,12,LV,DAL,19,6200,5600,5.6,17.6,24.6,4.4
WR,Elijah Moore,13,NYJ,PHI,3,6100,5500,5.5,17.6,20.6,3.7
WR,Jakeem Grant Sr.,14,CHI,GB,17,5000,3500,3.5,17.6,18.1,5.2
WR,Deebo Samuel,7,SF,IND,26,8000,7300,7.3,17.5,25,3.4
WR,Justin Jefferson,4,MIN,CLE,6,7800,7300,7.3,17.4,20.4,2.8
WR,Michael Pittman Jr.,18,IND,JAX,25,6600,5900,5.9,17.4,20.4,3.5
WR,Jakobi Meyers,17,NE,JAX,18,5800,5100,5.1,17.3,21.3,4.2
WR,Tyreek Hill,21,KC,CIN,15,8100,7000,7,17.3,20.8,3.0
WR,Cedrick Wilson,8,DAL,MIN,19,5400,4000,4,17.3,18.8,4.7
WR,Brandin Cooks,8,HOU,LAR,7,6000,5700,5.7,17.3,20.3,3.6
WR,Mike Evans,11,TB,NYG,17,7400,7000,7,17.3,20.3,2.9
WR,Tyler Boyd,8,CIN,NYJ,4,5800,4800,4.8,17.24,19.74,4.1
WR,Henry Ruggs III,6,LV,DEN,15,5500,5200,5.2,17.2,18.7,3.6
WR,Marquise Brown,4,BAL,DEN,8,6400,5400,5.4,17.1,19.1,3.5
WR,Cyril Grayson,17,TB,NYJ,9,4800,3300,3.3,17.1,20.1,6.1
WR,Hunter Renfrow,17,LV,IND,17,6900,6500,6.5,17.1,20.6,3.2
WR,Antoine Wesley,17,ARI,DAL,22,5100,3600,3.6,17,19,5.3
WR,Justin Jefferson,14,MIN,PIT,23,8500,8300,8.3,17,20.5,2.5
WR,Stefon Diggs,12,BUF,NO,26,8300,7900,7.9,16.9,20.4,2.6
WR,Jalen Guyton,13,LAC,CIN,8,4900,3000,3,16.9,18.9,6.3
WR,Deebo Samuel,15,SF,ATL,26,8200,8200,8.2,16.9,18.9,2.3
WR,Quez Watkins,18,PHI,DAL,26,5200,3800,3.8,16.9,19.4,5.1
WR,CeeDee Lamb,5,DAL,NYG,10,6900,6200,6.2,16.8,18.8,3.0
WR,K.J. Osborn,6,MIN,CAR,6,5000,3500,3.5,16.8,19.8,5.7
WR,Adam Thielen,8,MIN,DAL,28,7600,7000,7,16.8,19.8,2.8
WR,Van Jefferson,12,LAR,GB,9,5400,4900,4.9,16.8,18.3,3.7
WR,Keenan Allen,15,LAC,KC,10,7500,7500,7.5,16.8,19.8,2.6
WR,Keenan Allen,8,LAC,NE,20,6900,6500,6.5,16.7,19.7,3.0
WR,Odell Beckham Jr.,14,LAR,ARI,13,5900,5300,5.3,16.7,19.7,3.7
WR,Chris Godwin,3,TB,LAR,6,7300,6100,6.1,16.6,19.6,3.2
WR,DK Metcalf,7,SEA,NO,21,7400,6800,6.8,16.6,17.6,2.6
WR,Davante Adams,7,GB,WAS,31,9000,8900,8.9,16.6,19.6,2.2
WR,Jaylen Waddle,11,MIA,NYJ,22,6700,5600,5.6,16.6,20.6,3.7
WR,Odell Beckham Jr.,12,LAR,GB,9,5800,5000,5,16.6,19.1,3.8
WR,DJ Moore,3,CAR,HOU,9,7200,5900,5.9,16.5,23.5,4.0
WR,Marquise Brown,7,BAL,CIN,10,7300,5800,5.8,16.5,19,3.3
WR,Tim Patrick,9,DEN,DAL,25,5600,4700,4.7,16.5,18.5,3.9
WR,Russell Gage,13,ATL,TB,14,5900,5300,5.3,16.5,26,4.9
WR,Jarvis Landry,18,CLE,CIN,17,6000,5400,5.4,16.5,19.5,3.6
WR,DeVonta Smith,16,PHI,NYG,19,5900,6000,6,16.5,19,3.2
WR,Darnell Mooney,17,CHI,NYG,19,6000,5500,5.5,16.4,19.9,3.6
WR,A.J. Green,6,ARI,CLE,14,5400,4900,4.9,16.4,18.9,3.9
WR,Keenan Allen,9,LAC,PHI,4,7000,6700,6.7,16.4,25.4,3.8
WR,Michael Pittman Jr.,2,IND,LAR,3,5200,4300,4.3,16.3,23.3,5.4
WR,Tyler Boyd,4,CIN,JAX,21,6100,5200,5.2,16.3,23.8,4.6
WR,Bryan Edwards,10,LV,KC,16,5300,4200,4.2,16.3,17.8,4.2
WR,Stefon Diggs,11,BUF,IND,29,8100,7900,7.9,16.3,18.3,2.3
WR,Tyler Lockett,13,SEA,SF,9,6900,6500,6.5,16.3,19.8,3.0
WR,Cooper Kupp,16,LAR,MIN,32,9800,9100,9.1,16.3,24.3,2.7
WR,Allen Lazard,17,GB,MIN,32,5600,4200,4.2,16.2,19.2,4.6
WR,Hunter Renfrow,3,LV,MIA,10,5100,4000,4,16.2,18.7,4.7
WR,Brandin Cooks,3,HOU,CAR,8,7300,6200,6.2,16.2,23.7,3.8
WR,Chris Godwin,11,TB,NYG,17,7600,6700,6.7,16.2,19.2,2.9
WR,Jalen Guyton,14,LAC,NYG,18,5200,3400,3.4,16.2,17.7,5.2
WR,Davante Adams,2,GB,DET,26,8300,8300,8.3,16.1,23.1,2.8
WR,Marquise Brown,9,BAL,MIN,26,7700,6000,6,16.1,23.6,3.9
WR,Brandin Cooks,17,HOU,SF,24,6500,6000,6,16.1,19.6,3.3
WR,Tre'Quan Smith,18,NO,ATL,27,5300,4400,4.4,16.1,18.6,4.2
WR,Tyler Boyd,16,CIN,BAL,23,6200,5100,5.1,16,17.5,3.4
WR,Ja'Marr Chase,16,CIN,BAL,23,7100,7100,7.1,16,22.5,3.2
WR,Darnell Mooney,4,CHI,DET,15,5200,3900,3.9,16,21.5,5.5
WR,Christian Kirk,6,ARI,CLE,14,5900,5000,5,16,18.5,3.7
WR,Cole Beasley,8,BUF,MIA,30,6100,4900,4.9,16,24,4.9
WR,Justin Jefferson,5,MIN,DET,14,8000,7700,7.7,15.9,22.4,2.9
WR,Deebo Samuel,11,SF,JAX,16,7600,7800,7.8,15.9,16.4,2.1
WR,Zay Jones,17,LV,IND,17,5100,3900,3.9,15.9,22.9,5.9
